Name,Price,Rating,Review_count,Url
FRBG-NAVY BLUE LAPTOP BACKPACK,₹799,5.0 out of 5 stars,1,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfbXRmOjIwMTAzMjc2MzA0MTk4OjowOjo&url=%2FGeneric-FRBG-004-FRBG-NAVY-LAPTOP-BACKPACK%2Fdp%2FB0B5VHV5NH%2Fref%3Dsr_1_44_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Skybags Unisex Gucci Fabric Backpacks,₹809,3.9 out of 5 stars,407,https:www.amaxon.in/Skybags-Unisex-Gucci-Fabric-Backpacks/dp/B0B21XCFRM/ref=sr_1_45?keywords=bags&qid=1692803554&sr=8-45
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,₹339,3.8 out of 5 stars,"2,547",https:www.amaxon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_46?keywords=bags&qid=1692803554&sr=8-46
"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","₹1,329",4.1 out of 5 stars,700,https:www.amaxon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2/ref=sr_1_47?keywords=bags&qid=1692803554&sr=8-47
"Genie Miami Laptop Backpack for Women,Tuition bag, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹803,4.2 out of 5 stars,"1,489",https:www.amaxon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_48?keywords=bags&qid=1692803554&sr=8-48
Safari ARC Polyester Medium Size 65 Cms Wheel Travel Duffle Bag (Blue),"₹1,509",3.9 out of 5 stars,"1,970",https:www.amaxon.in/Safari-Polyester-Travel-Duffle-ARC65RLBLU/dp/B0978S73F7/ref=sr_1_49?keywords=bags&qid=1692803554&sr=8-49
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹439,3.7 out of 5 stars,55,https:www.amaxon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_50?keywords=bags&qid=1692803554&sr=8-50
Nelle Harper Women's Handbag,₹959,3.7 out of 5 stars,"1,924",https:www.amaxon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_51?keywords=bags&qid=1692803554&sr=8-51
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,₹499,3.9 out of 5 stars,"4,131",https:www.amaxon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_52?keywords=bags&qid=1692803554&sr=8-52
"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400",4.3 out of 5 stars,78,https:www.amaxon.in/sspa/click?ie=UTF8&spc=MTo1Nzc0MzY3NTMwNDAyNTk5OjE2OTI4MDM1NTQ6c3BfYnRmOjIwMTA4NDc1MDc0Njk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dbags%26qid%3D1692803554%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
